source_type,identifier,url,retrieved_utc,retrieval_conditions,local_path,bytes,sha256,usage_conditions
public,Medical-professional authentication page capture,https://medical-pro.kaken.co.jp/auth.html,2026-09-25T02:27:08+00:00,Browser capture before retrieving the interview-form PDF,source/public/ropion_if_202410_browser.html,92669,7b8d94b3ce63f45fdcf25c15bb000fb194e397eb19573818f667f97ca183a4d6,Authentication provenance only; not substantive evidence
public-api,10.1016/j.bja.2018.01.023,https://api.crossref.org/works/10.1016%2Fj.bja.2018.01.023,2026-09-25T02:39:01+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_boer2018.json,44771,2ef430181e172906b0ee2777387c0610f24c6c03a18580e83b012114e7336487,Crossref public metadata; retain response for citation audit
public-api,10.1016/0091-6749(90)90189-b,https://api.crossref.org/works/10.1016%2F0091-6749%2890%2990189-b,2026-09-25T02:39:01+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_weiler1990.json,15870,68e77b06a02bd8e94f52f8801b3812e1bf16491acab8607b2a106f24e8dcccd1,Crossref public metadata; retain response for citation audit
public-api,10.1016/s0895-4356(97)00241-2,https://api.crossref.org/works/10.1016%2Fs0895-4356%2897%2900241-2,2026-09-25T02:39:01+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_kimmel1998events.json,11837,20fe3cae14301d1e02e4a8fe2837b49c580835db92f3f28196f26ae81ae46174,Crossref public metadata; retain response for citation audit
public-api,10.1097/00000542-200502000-00011,https://api.crossref.org/works/10.1097%2F00000542-200502000-00011,2026-09-25T02:39:02+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_welsby2005.json,6144,c9f7e928e7b94949fc99052abd82df28bb0c0b7493b97f50192489b5604d368e,Crossref public metadata; retain response for citation audit
public-api,10.1016/s0735-1097(98)00484-7,https://api.crossref.org/works/10.1016%2Fs0735-1097%2898%2900484-7,2026-09-25T02:39:02+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_kimmel1998risk.json,17811,3c8248bfbf00c4016bc7756448ee3375d3baba01a42fb6a109903c487259c0c8,Crossref public metadata; retain response for citation audit
public-api,10.1056/nejm198904063201402,https://api.crossref.org/works/10.1056%2Fnejm198904063201402,2026-09-25T02:39:02+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_weiss1989.json,10062,7d3297064db07a6b129cc0a632ae2437c42fd91d152c50e7fc29d5f5c6d0c324,Crossref public metadata; retain response for citation audit
public-api,10.21037/apm-22-714,https://api.crossref.org/works/10.21037%2Fapm-22-714,2026-09-25T02:39:02+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_suksompong2023.json,2529,00761c062c6fdb96128f10a5f20f92709fa6fdab42b1def6719365e9d68d1926,Crossref public metadata; retain response for citation audit
public-api,10.1213/00000539-198803000-00008,https://api.crossref.org/works/10.1213%2F00000539-198803000-00008,2026-09-25T02:39:02+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_hobbhahn1988.json,2387,1794d74f13ece0ed0525487dbd31431f995638523d1912fe72694eee1a69d60c,Crossref public metadata; retain response for citation audit
public-api,10.1038/s41392-020-00443-w,https://api.crossref.org/works/10.1038%2Fs41392-020-00443-w,2026-09-25T02:39:03+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_wang2021.json,207663,ab438d6b35d67effdaa71ecd9cef93b0df12ca4156a8482228fddef95f098efe,Crossref public metadata; retain response for citation audit
public-api,10.1007/s00540-006-0389-6,https://api.crossref.org/works/10.1007%2Fs00540-006-0389-6,2026-09-25T02:39:03+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_yamashita2006.json,6381,440d57c19929ab561d0e481800781e1e4e7a584d8d5596e6980a8f2e43dfe8c1,Crossref public metadata; retain response for citation audit
public-api,10.1186/s13741-024-00419-2,https://api.crossref.org/works/10.1186%2Fs13741-024-00419-2,2026-09-25T02:39:03+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_liu2024.json,21651,2d4a53f182da324545efe14b826017d95ad0353f7ef5fdfbcb6ec0c60f9431ac,Crossref public metadata; retain response for citation audit
public-api,10.1016/j.athoracsur.2017.09.061,https://api.crossref.org/works/10.1016%2Fj.athoracsur.2017.09.061,2026-09-25T02:39:03+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_sts2018.json,45586,5b26e6388bc4fc0fe4f84213de69e1e0da4c2a1b41e420b25c32e61310fc338e,Crossref public metadata; retain response for citation audit
public-api,10.1053/j.jvca.2013.09.007,https://api.crossref.org/works/10.1053%2Fj.jvca.2013.09.007,2026-09-25T02:39:04+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_vonk2014.json,11105,e8786b3c2eaa407171f08fde894413c9ee047d1b2ae1456243b2568c80d3a392,Crossref public metadata; retain response for citation audit
public-api,10.1016/j.bja.2018.04.036,https://api.crossref.org/works/10.1016%2Fj.bja.2018.04.036,2026-09-25T02:39:04+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_wesselink2018.json,19476,f59798894f1e3adea7654521ec7f47c8c580860545afd4eed11a181afe790b00,Crossref public metadata; retain response for citation audit
public-api,10.1016/j.bja.2019.01.013,https://api.crossref.org/works/10.1016%2Fj.bja.2019.01.013,2026-09-25T02:39:04+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_sessler2019.json,24345,b10b012d452baaa21796273e9afc3e31369b823538bca1eeb241393af66bd394,Crossref public metadata; retain response for citation audit
public-api,10.1038/kisup.2012.1,https://api.crossref.org/works/10.1038%2Fkisup.2012.1,2026-09-25T02:39:04+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_kdigo2012.json,2201,95b8f0710930511ad32369f7d4e3ef100839265009dee473014a3298ac7284a1,Crossref public metadata; retain response for citation audit
public-api,10.1136/bmj-2024-081477,https://api.crossref.org/works/10.1136%2Fbmj-2024-081477,2026-09-25T02:39:04+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_spirit2025.json,25882,296435327f99110b43cf779f79ecd38118f7c5f3661ceac019761850e6c15b3d,Crossref public metadata; retain response for citation audit
public-api,10.1136/bmj-2024-081123,https://api.crossref.org/works/10.1136%2Fbmj-2024-081123,2026-09-25T02:39:05+00:00,Crossref REST API; complete single-work response,literature/raw/crossref_consort2025.json,23851,e4892e0be2e0baf4c778e5a71faf58de14366c11cb377e98818c7ebe4c9a2536,Crossref public metadata; retain response for citation audit
